OrgId,IncidentId,AlertId,AlertTitle,Category,IncidentGrade,EntityType,EvidenceRole,IpAddress,Url,ApplicationId,City,Day,Year,Hour,Time
62,485051,1402500,39,16,2,8,1,7773,160396,2251,10630,12,2024,7,9081
1333,75506,100791,1,10,0,10,1,360606,160396,2251,10630,14,2024,16,22420
9,85918,49869,18121,7,0,11,0,360606,160396,2251,10630,7,2024,15,20413
131,4790,24634,30,10,0,11,1,360606,160396,2251,10630,13,2024,5,6487
2,11558,7722,14,7,0,20,0,360606,160396,2251,10630,5,2024,5,6534
246,594101,1671417,49,16,0,3,0,360606,160396,5,10630,12,2024,9,12507
39,184342,240787,8,10,0,6,1,360606,160396,2251,10630,12,2024,14,19144
0,262,530830,0,10,2,4,1,360606,160396,2251,10630,5,2024,12,15771
155,59,522682,6,10,2,4,1,360606,160396,2251,10630,4,2024,2,3740
1369,20642,399584,15,10,2,20,0,360606,160396,2251,10630,6,2024,1,2450
1,304,161244,0,10,2,20,0,360606,160396,2251,10630,3,2024,12,15371
20,30308,281035,2,1,0,20,0,360606,160396,2251,10630,12,2024,10,12958
8,17152,625050,4,16,2,9,0,360606,160396,2251,10630,13,2024,14,18627
0,95,540020,6,10,2,20,0,360606,160396,2251,10630,9,2024,10,13725
192,55716,25691,110,10,2,20,0,360606,160396,2251,10630,6,2024,22,32355
4,1747,280,7,10,1,9,0,360606,160396,2251,10630,21,2024,15,20761
24,71757,48212,1,10,2,10,1,360606,160396,2251,10630,7,2024,0,1137
510,8322,147028,1829,2,0,20,0,360606,160396,2251,10630,5,2024,2,3653
3,134612,275787,2,1,0,9,0,360606,160396,2251,10630,3,2024,10,13492
394,51496,1158318,32983,5,0,8,1,46455,160396,2251,10630,3,2024,9,11897
1199,9878,90522,46,6,2,15,1,360606,160396,2251,10630,3,2024,7,8915
28,5310,757,1,10,1,11,1,360606,160396,2251,10630,3,2024,3,4499
0,100,1257799,6,10,2,8,1,4,160396,2251,9,11,2024,19,28025
195,20837,485579,0,10,1,20,0,360606,160396,2251,10630,16,2024,1,2156
0,553,414464,0,10,2,4,1,360606,160396,2251,10630,3,2024,6,7667
91,60991,49806,18002,7,0,11,0,360606,160396,2251,10630,10,2024,14,19971
651,198550,340731,3474,16,2,20,0,360606,160396,2251,10630,6,2024,23,33526
35,139,1329359,6,10,2,4,1,360606,160396,2251,10630,8,2024,18,26023
1,304,126425,12,2,2,20,0,360606,160396,2251,10630,4,2024,14,19304
109,23831,212567,4983,7,0,11,0,360606,160396,2251,10630,7,2024,15,21517
75,37,997136,3,10,2,4,1,360606,160396,2251,10630,4,2024,9,11548
4,287,452,7,10,1,9,0,360606,160396,2251,10630,29,2024,8,11052
28,9445,27326,1,10,2,12,0,360606,160396,2251,10630,14,2024,14,19219
225,13724,739686,2,1,2,19,1,360606,77,2251,10630,4,2024,23,32979
32,30441,8658,492,2,0,8,1,154512,160396,2251,10630,24,2024,5,6352
32,158976,89924,4,16,0,8,1,51803,160396,2251,10630,13,2024,11,14520
31,82554,49567,5875,7,0,6,0,360606,160396,2251,10630,5,2024,15,20421
108,48847,33966,1,10,0,11,1,360606,160396,2251,10630,3,2024,13,18070
0,84,385617,3,10,2,4,1,360606,160396,2251,10630,5,2024,20,29030
33,100054,219200,1,10,0,6,1,360606,160396,2251,10630,7,2024,17,23779
17,236,49355,8322,7,1,6,0,360606,160396,2251,10630,4,2024,14,19772
75,37,909266,3,10,2,8,1,9771,160396,2251,10630,5,2024,7,9773
3,21109,620382,231,16,0,20,0,360606,160396,2251,10630,11,2024,21,30107
325,28865,50446,1,10,0,11,1,360606,160396,2251,10630,9,2024,2,2973
298,2099,585737,129,16,0,3,0,360606,160396,0,10630,12,2024,13,17359
5,29,1251831,0,10,2,20,0,360606,160396,2251,10630,6,2024,7,9209
148,20,32531,13900,7,2,6,0,360606,160396,2251,10630,4,2024,8,10910
0,174,86613,6,10,2,20,0,360606,160396,2251,10630,4,2024,11,15069
0,134,1333746,6,10,2,4,1,360606,160396,2251,10630,8,2024,22,32522
387,36344,96278,5,10,2,12,0,360606,160396,2251,10630,10,2024,17,24751
2,13838,11021,13,7,0,6,0,360606,160396,2251,10630,11,2024,17,23689
128,437,1150521,120,10,2,19,1,360606,716,2251,10630,12,2024,2,3724
5,31,414648,3,10,2,4,1,360606,160396,2251,10630,9,2024,17,25068
11,425458,943603,0,10,1,8,1,2752,160396,2251,14,13,2024,1,1693
36,525870,1474027,17,10,0,12,0,360606,160396,2251,10630,7,2024,14,18777
44,10124,8893,36,7,0,11,0,360606,160396,2251,10630,13,2024,16,22024
0,166,330328,0,10,2,8,1,1905,160396,2251,72,7,2024,18,26593
2112,34370,311940,0,10,2,8,1,6252,160396,2251,21,8,2024,16,22980
60,381,49220,11598,7,1,11,0,360606,160396,2251,10630,11,2024,17,24054
904,1203,498611,0,10,2,20,0,360606,160396,2251,10630,5,2024,15,20897
21,26066,194948,4,16,0,8,1,8650,160396,2251,10630,6,2024,6,7750
290,592,2426,124,2,1,20,0,360606,160396,2251,10630,12,2024,13,16936
976,9823,3427,105,7,1,19,1,360606,47071,2251,10630,28,2024,3,4399
0,213,505837,0,10,2,4,1,360606,160396,2251,10630,8,2024,21,30907
726,14414,673510,1068,13,0,20,0,360606,160396,2251,10630,29,2024,13,18437
47,942,4031,29,1,1,19,1,360606,562,2251,10630,15,2024,10,13697
36,3270,51274,1,10,0,12,0,360606,160396,2251,10630,9,2024,2,2924
52,4549,3170,240,1,0,19,1,360606,46379,2251,10630,9,2024,21,30054
5,29,931170,3,10,2,20,0,360606,160396,2251,10630,6,2024,9,12269
0,405,166228,0,10,2,5,1,360606,160396,2251,10630,8,2024,13,17782
7,329,1034,70,9,1,8,1,5825,160396,2251,10630,25,2024,9,12369
773,54653,84493,1,10,0,10,1,360606,160396,2251,10630,12,2024,19,27364
65,367602,1146281,56,16,1,20,0,360606,160396,2251,10630,16,2024,3,4465
1237,4925,48589,11,10,0,20,0,360606,160396,2251,10630,11,2024,17,23950
1216,3333,14741,8,10,2,20,0,360606,160396,2251,10630,11,2024,15,21667
13,10410,3907,643,7,0,6,0,360606,160396,2251,10630,12,2024,14,18843
47,5467,11645,51,9,1,8,1,9579,160396,2251,10630,27,2024,8,10011
13,146514,1135461,81775,7,0,20,0,360606,160396,2251,10630,13,2024,17,24435
0,116,966950,0,10,2,8,1,6,160396,2251,7,9,2024,2,3316
34,23860,6895,573,2,0,20,0,360606,160396,2251,10630,10,2024,17,25037
5,60,1240955,0,10,2,8,1,1166,160396,2251,243,5,2024,17,24699
26,3933,298064,7575,16,0,9,0,360606,160396,2251,10630,8,2024,14,19373
5,317,74190,3,10,2,4,1,360606,160396,2251,10630,3,2024,18,25511
16,160425,1441163,150,7,0,11,0,360606,160396,2251,10630,8,2024,19,27007
0,292,507477,6,10,2,20,0,360606,160396,2251,10630,3,2024,15,20103
23,10475,126644,0,10,2,4,1,360606,160396,2251,10630,4,2024,3,4200
17,223,28047,4467,7,1,8,1,526,160396,2251,10630,5,2024,18,26313
258,4160,34128,76,13,0,8,1,329509,160396,2251,10630,15,2024,18,26693
0,259,105360,0,10,2,20,0,360606,160396,2251,10630,11,2024,4,5972
255,103902,87090,2,1,2,19,1,360606,859,2251,10630,7,2024,15,20848
45,29568,358611,5,10,1,10,1,360606,160396,2251,10630,11,2024,15,21322
0,244,167230,3,10,2,4,1,360606,160396,2251,10630,8,2024,23,33653
114,776,195497,4,16,1,20,0,360606,160396,2251,10630,6,2024,13,18397
44,10866,7734,57,7,0,20,0,360606,160396,2251,10630,10,2024,23,33453
20,6139,35178,8,10,0,10,1,360606,160396,2251,10630,11,2024,3,4438
536,497,212119,4044,7,1,6,0,360606,160396,2251,10630,10,2024,4,5812
0,114,1020548,3,10,2,4,1,360606,160396,2251,10630,6,2024,21,30305
8,15726,28971,1,10,2,11,1,360606,160396,2251,10630,3,2024,14,19596
43,703,6779,10,9,0,8,1,5713,160396,2251,10630,30,2024,22,31566
92,3735,131066,2,1,0,9,0,360606,160396,2251,10630,3,2024,22,32771
72,70,1243929,0,10,2,4,1,360606,160396,2251,10630,8,2024,11,14075
13,14093,10120,2181,7,0,6,0,360606,160396,2251,10630,11,2024,18,26151
63,363,973441,15,10,2,5,1,360606,160396,2251,10630,3,2024,19,27287
41,50748,30312,13520,7,2,6,0,360606,160396,2251,10630,13,2024,13,17372
61,129941,342135,31,16,1,3,0,360606,160396,0,10630,8,2024,16,23352
98,492286,1339961,0,10,1,20,0,360606,160396,2251,10630,12,2024,15,21376
0,129,322253,6,10,2,8,1,445,160396,2251,0,7,2024,4,5261
33,5347,3541,25,9,0,20,0,360606,160396,2251,10630,5,2024,6,8225
0,294,178333,3,10,2,20,0,360606,160396,2251,10630,7,2024,8,10874
64,5871,4866,61,10,0,8,1,7104,160396,2251,10630,14,2024,19,27421
1,44,1301465,0,10,2,20,0,360606,160396,2251,10630,5,2024,9,12466
81,91002,90649,16317,7,0,6,0,360606,160396,2251,10630,12,2024,21,31310
2,6887,12804,13,7,0,6,0,360606,160396,2251,10630,6,2024,16,22758
16,105195,229798,39787,7,0,11,0,360606,160396,2251,10630,11,2024,20,29481
51,328282,136395,26,6,0,6,1,360606,160396,2251,10630,12,2024,21,30505
555,62036,424714,452,2,2,8,1,69029,160396,2251,10630,14,2024,0,1305
70,123796,97604,11,10,0,20,0,360606,160396,2251,10630,11,2024,8,10791
57,43945,92568,941,7,0,6,0,360606,160396,2251,10630,3,2024,19,26975
104,550,1910,9,10,1,20,0,360606,160396,2251,10630,10,2024,16,21850
0,260,308173,6,10,2,4,1,360606,160396,2251,10630,5,2024,1,1490
62,479290,1376105,39,16,2,20,0,360606,160396,2251,10630,6,2024,9,11404
811,832,52910,5,10,2,20,0,360606,160396,2251,10630,5,2024,14,18684
81,356415,1106771,71654,7,0,6,0,360606,160396,2251,10630,12,2024,18,26075
57,970,110886,28822,7,0,20,0,360606,160396,2251,10630,4,2024,21,30775
170,243467,1048667,0,10,1,5,1,360606,160396,2251,10630,13,2024,19,28268
21,60725,142306,4,16,0,8,1,11028,160396,2251,10630,5,2024,0,1155
433,54204,363374,5,10,2,12,0,360606,160396,2251,10630,3,2024,21,30186
423,53753,14396,118,16,1,9,0,360606,160396,2251,10630,11,2024,14,18669
2670,31280,966097,3,10,1,8,1,236768,160396,2251,10630,4,2024,12,15474
1324,328745,1395592,2734,16,2,3,0,360606,160396,0,10630,10,2024,23,32916
282,3293,12028,1,10,1,10,1,360606,160396,2251,10630,13,2024,2,2704
83,152626,292692,41947,7,0,11,0,360606,160396,2251,10630,5,2024,10,13298
150,4473,252717,2,1,1,20,0,360606,160396,2251,10630,5,2024,11,14852
0,612,126045,0,10,2,20,0,360606,160396,2251,10630,4,2024,10,13510
238,917,14393,386,12,0,6,1,360606,160396,2251,10630,11,2024,15,20254
3,176549,237522,5,10,0,10,1,360606,160396,2251,10630,5,2024,13,17547
8,146386,232632,1,10,2,11,1,360606,160396,2251,10630,3,2024,11,14740
63,138,896288,0,10,2,20,0,360606,160396,2251,10630,10,2024,19,26826
5,31,937557,3,10,2,20,0,360606,160396,2251,10630,9,2024,22,32300
3,13702,55822,4,16,0,8,1,9,160396,2251,10630,11,2024,8,10772
255,1339,739319,2,1,2,9,0,360606,160396,2251,10630,12,2024,21,30841
37,4075,132663,13875,7,1,11,0,360606,160396,2251,10630,12,2024,3,3880
6,2490,1413,82,9,0,8,1,2630,160396,2251,10630,31,2024,8,11227
201,3377,348218,97,16,0,3,0,360606,160396,0,10630,13,2024,15,20784
156,109663,220891,1,10,0,12,0,360606,160396,2251,10630,4,2024,17,25080
43,163151,220796,1,10,0,10,1,360606,160396,2251,10630,9,2024,5,7321
2,6816,6851,14,7,0,11,0,360606,160396,2251,10630,10,2024,22,32134
0,115,530914,6,10,2,8,1,1063,160396,2251,254,6,2024,16,23003
183,218501,797619,69396,7,0,6,0,360606,160396,2251,10630,10,2024,15,21263
280,100465,66391,5,10,2,20,0,360606,160396,2251,10630,11,2024,22,32521
9,172951,68148,196,10,1,12,0,360606,160396,2251,10630,12,2024,22,32698
3,176654,246827,2,1,0,9,0,360606,160396,2251,10630,6,2024,12,15858
19,679,2186,16,1,2,19,1,360606,265,2251,10630,8,2024,14,18835
313,129060,1702702,1713,9,1,9,0,360606,160396,2251,10630,29,2024,17,23719
0,303,42822,0,10,2,20,0,360606,160396,2251,10630,5,2024,7,9613
6,2020,1237,712,9,0,8,1,6908,160396,2251,10630,21,2024,18,26127
246,137044,137152,1,10,0,19,1,360606,82108,2251,10630,8,2024,2,3581
0,169,332760,0,10,2,4,1,360606,160396,2251,10630,4,2024,12,15650
19,20965,20924,29,1,0,8,1,2175,160396,2251,10630,15,2024,7,8885
395,33515,469551,54,10,1,3,0,360606,160396,0,10630,10,2024,2,3802
185,3269,1822,1513,1,1,19,1,360606,17601,2251,10630,23,2024,13,18212
5,40,1222416,0,10,2,20,0,360606,160396,2251,10630,12,2024,13,17492
119,26,26144,19,10,1,11,1,360606,160396,2251,10630,14,2024,16,22143
130,672,314131,6,10,0,4,1,360606,160396,2251,10630,7,2024,10,13533
0,392,312579,0,10,2,8,1,22,160396,2251,16,10,2024,13,17834
1,41,1335250,6,10,2,20,0,360606,160396,2251,10630,10,2024,17,24394
18,533190,553471,32,6,1,3,0,360606,160396,4,10630,3,2024,15,21696
22,145,378952,0,10,2,20,0,360606,160396,2251,10630,5,2024,13,18063
0,211,324121,6,10,2,20,0,360606,160396,2251,10630,11,2024,9,12143
18,97960,111864,13192,7,1,9,0,360606,160396,2251,10630,13,2024,2,2935
113,12052,1654592,60,10,2,19,1,360606,127670,2251,10630,5,2024,15,20700
0,244,318727,0,10,2,20,0,360606,160396,2251,10630,9,2024,3,4082
407,59348,224535,1,10,0,10,1,360606,160396,2251,10630,10,2024,23,33721
321,19033,136925,325,5,0,19,1,360606,687,2251,10630,7,2024,18,25582
1,62,1229354,6,10,2,20,0,360606,160396,2251,10630,9,2024,13,17763
7,1051,2897,10,9,1,8,1,870,160396,2251,10630,26,2024,18,25419
587,91939,1547185,444,6,0,9,0,360606,160396,2251,10630,13,2024,8,10163
21,482,612161,4,16,0,9,0,360606,160396,2251,10630,7,2024,3,4592
25,216,99451,26982,7,0,11,0,360606,160396,2251,10630,3,2024,15,21390
268,251,721150,4,16,2,8,1,12307,160396,2251,10630,7,2024,6,7959
43,703,5477,10,9,0,8,1,4038,160396,2251,10630,31,2024,1,1662
142,1476,645500,4174,7,1,11,0,360606,160396,2251,10630,10,2024,12,15354
90,157,810157,0,10,2,5,1,360606,160396,2251,10630,5,2024,4,5319
12,2013,1352,52,9,0,8,1,7362,160396,2251,10630,20,2024,6,7925
215,11349,4389,1,10,0,20,0,360606,160396,2251,10630,4,2024,18,25808
51,328128,296643,26,6,0,20,1,360606,160396,2251,10630,7,2024,2,2617
116,366900,1460701,93858,7,0,20,0,360606,160396,2251,10630,11,2024,4,5350
2,18708,5814,13,7,0,20,0,360606,160396,2251,10630,7,2024,12,16214
129,15637,11054,5767,7,0,6,0,360606,160396,2251,10630,7,2024,12,15712
730,3582,116957,11,10,1,10,1,360606,160396,2251,10630,9,2024,5,6652
8,229014,258611,4,16,2,19,1,360606,37,2251,10630,4,2024,2,3285
100,9502,13821,53,9,0,8,1,4052,160396,2251,10630,26,2024,16,22497
1,318,184077,0,10,2,4,1,360606,160396,2251,10630,8,2024,12,15976
142,3275,91360,9728,7,1,11,0,360606,160396,2251,10630,12,2024,20,28422
14,3777,3013,20,9,2,8,1,3312,160396,2251,10630,23,2024,0,78
11,411399,843306,0,10,1,20,0,360606,160396,2251,10630,6,2024,14,19588
7,4440,980,146,9,1,8,1,25363,160396,2251,10630,2,2024,0,458
30,58991,36505,5296,7,1,11,0,360606,160396,2251,10630,14,2024,16,22928
0,95,409298,0,10,2,4,1,360606,160396,2251,10630,9,2024,11,14490
174,6914,5064,65,7,0,6,1,360606,160396,2251,10630,6,2024,12,16209
11,399196,833406,0,10,1,5,1,360606,160396,2251,10630,3,2024,6,8053
399,389,823549,3,10,2,8,1,176512,160396,2251,10630,4,2024,16,23100
24,473239,588101,21,16,2,20,0,360606,160396,2251,10630,13,2024,5,6597
1508,41004,79655,5,10,0,8,1,1534,160396,2251,10630,12,2024,0,750
11,416493,955838,0,10,1,5,1,360606,160396,2251,10630,10,2024,9,12074
8,84170,219662,1,10,2,10,1,360606,160396,2251,10630,15,2024,0,97
392,32033,28425,1,10,2,20,0,360606,160396,2251,10630,4,2024,18,26218
0,129,322886,12,2,2,20,0,360606,160396,2251,10630,6,2024,22,31624
2,9022,11927,13,7,0,11,0,360606,160396,2251,10630,12,2024,22,31594
138,33836,24664,75,10,0,12,0,360606,160396,2251,10630,11,2024,21,30366
67,7601,13711,1,10,0,10,1,360606,160396,2251,10630,9,2024,1,1440
38,454530,1281668,0,10,2,20,0,360606,160396,2251,10630,3,2024,18,26402
49,36653,286205,2,1,2,15,1,360606,160396,2251,10630,11,2024,19,28166
22,146,1201021,6,10,2,8,1,2924,160396,2251,244,6,2024,20,28548
3,267559,198291,135,16,0,8,1,23,160396,2251,10630,9,2024,11,15328
0,173,1249029,12,2,2,20,0,360606,160396,2251,10630,4,2024,16,22507
5,73,1296766,0,10,2,20,0,360606,160396,2251,10630,8,2024,19,26895
55,10186,63558,1001,4,0,15,1,360606,160396,2251,10630,10,2024,14,19914
37,10436,4290,2772,7,1,11,0,360606,160396,2251,10630,13,2024,1,1452
174,11796,1154412,5311,10,0,20,0,360606,160396,2251,10630,6,2024,20,29180
8,15511,715351,4,16,2,20,0,360606,160396,2251,10630,3,2024,21,30953
36,1113,273259,2,1,1,20,0,360606,160396,2251,10630,7,2024,6,8371
332,35874,101410,292,10,0,20,0,360606,160396,2251,10630,4,2024,19,27696
2,12607,11770,13,7,0,11,0,360606,160396,2251,10630,14,2024,7,9441
17,209154,1110553,78011,7,1,6,0,360606,160396,2251,10630,11,2024,19,27840
56,6663,4405,242,2,0,8,1,95302,160396,2251,10630,29,2024,19,27181
162,41763,216302,1057,10,0,20,0,360606,160396,2251,10630,16,2024,15,20771
495,79908,1610537,108531,7,2,11,0,360606,160396,2251,10630,11,2024,5,7368
1157,45943,1408590,49,16,2,3,0,360606,160396,1,10630,12,2024,22,32600
34,280690,630638,2,1,0,20,0,360606,160396,2251,10630,10,2024,0,1160
0,134,1185525,0,10,2,20,0,360606,160396,2251,10630,9,2024,1,2384
75,478,933043,3,10,2,8,1,83,160396,2251,14,3,2024,15,21066
98,348566,954575,3,10,1,20,0,360606,160396,2251,10630,12,2024,6,8601
6,59342,739440,2,1,0,15,1,360606,160396,2251,10630,4,2024,1,2492
1,32,319686,12,2,2,8,1,2,160396,2251,8,10,2024,14,19128
11,413774,816874,0,10,1,5,1,360606,160396,2251,10630,7,2024,12,15651
5,278,180264,0,10,2,8,1,150,160396,2251,45,5,2024,9,12025
1647,16066,51202,30,10,2,6,1,360606,160396,2251,10630,7,2024,13,17317
12,2016,1457,1319,9,0,8,1,1828,160396,2251,10630,31,2024,10,13283
1296,112557,1712054,558,9,0,9,0,360606,160396,2251,10630,24,2024,1,1835
4087,43637,950309,15,10,1,8,1,4498,160396,2251,61,16,2024,6,7559
14,1990,90,702,9,0,8,1,969,160396,2251,10630,23,2024,21,30421
352,538,1405586,248,6,2,6,1,360606,160396,2251,10630,12,2024,8,11082
629,82714,917079,0,10,1,20,0,360606,160396,2251,10630,13,2024,11,14699
9,201,22200,10071,7,0,11,0,360606,160396,2251,10630,14,2024,19,28130
115,65219,719974,4,16,0,8,1,1617,160396,2251,10630,6,2024,15,20113
371,1325,4846,48,10,2,12,0,360606,160396,2251,10630,5,2024,19,27164
2,4047,3154,14,7,0,11,0,360606,160396,2251,10630,4,2024,10,13748
23,361963,166680,3,10,2,8,1,15,160396,2251,16,5,2024,0,236
1132,87221,1079179,54,10,0,8,1,150844,160396,2251,10630,13,2024,14,18487
38,123133,420818,4,16,0,19,1,360606,192,2251,10630,6,2024,13,18165
51,156541,136108,26,6,0,9,0,360606,160396,2251,10630,12,2024,5,7355
31,5373,6270,1703,7,0,8,1,8,160396,2251,10630,4,2024,15,21199
238,917,38258,1827,8,0,6,1,360606,160396,2251,10630,11,2024,16,22179
13,17641,12734,3426,7,0,6,0,360606,160396,2251,10630,13,2024,18,25574
2,14193,9625,13,7,0,20,0,360606,160396,2251,10630,4,2024,10,12615
2,19327,10573,13,7,0,11,0,360606,160396,2251,10630,5,2024,20,28505
1,46,398058,0,10,2,5,1,360606,160396,2251,10630,6,2024,16,22530
6,2511,1471,285,9,2,8,1,51079,160396,2251,10630,2,2024,5,7185
13,197086,682306,2,1,0,19,1,360606,374,2251,10630,4,2024,14,19220
117,342,1347207,6,10,2,20,0,360606,160396,2251,10630,2,2024,14,18508
618,13499,1103225,275,4,1,9,0,360606,160396,2251,10630,7,2024,10,12794
266,6656,5562,1814,12,0,6,1,360606,160396,2251,10630,12,2024,20,29577
14,198,247,84,9,2,8,1,2376,160396,2251,10630,23,2024,11,13932
43,11274,12624,1,10,0,19,1,360606,30044,2251,10630,9,2024,4,5830
103,32696,16803,9,10,0,11,1,360606,160396,2251,10630,4,2024,23,33645
31,105818,44428,1227,7,0,20,0,360606,160396,2251,10630,5,2024,16,22934
107,53800,44729,1,10,2,11,1,360606,160396,2251,10630,8,2024,20,28747
2,6889,3545,14,7,0,11,0,360606,160396,2251,10630,7,2024,19,27274
602,1701,1361682,366,16,0,20,0,360606,160396,2251,10630,3,2024,20,28891
28,7555,24537,1,10,2,19,1,360606,1019,2251,10630,3,2024,22,31672
124,172595,342254,64,6,1,3,0,360606,160396,2,10630,8,2024,18,25907
526,63498,148180,1,10,1,12,0,360606,160396,2251,10630,11,2024,22,32474
5,29,846949,0,10,2,4,1,360606,160396,2251,10630,6,2024,10,13001
21,151457,76057,4,16,0,8,1,3656,160396,2251,10630,5,2024,7,8782
127,120178,975977,0,10,1,8,1,172746,160396,2251,123,11,2024,13,16921
37,190,3747,2542,7,1,11,0,360606,160396,2251,10630,13,2024,1,2237
237,133456,562906,182,6,1,6,1,360606,160396,2251,10630,6,2024,1,1789
8,14606,266496,4,16,2,9,0,360606,160396,2251,10630,13,2024,7,9615
